assessmentId,student,semester,shortCode,module,assessor,assistant,startTime,endTime,assessmentStyle,assessmentType,proposalStatus,location
test034,STUDENT347@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-22 16:30,2022-06-22 17:00,STANDARD,NORMAL,REGISTERED,
test316,STUDENT009@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-20 10:00,2022-06-20 10:30,STANDARD,NORMAL,REGISTERED,
test318,STUDENT509@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin3,2022-06-21 16:00,2022-06-21 16:30,STANDARD,NORMAL,REGISTERED,
test319,STUDENT507@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-20 16:30,2022-06-20 17:00,STANDARD,NORMAL,REGISTERED,
test320,STUDENT150@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin3,2022-06-21 15:00,2022-06-21 15:30,STANDARD,NORMAL,REGISTERED,
test321,STUDENT223@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-22 15:00,2022-06-22 15:30,STANDARD,NORMAL,REGISTERED,
test322,STUDENT325@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-23 12:30,2022-06-23 13:00,STANDARD,NORMAL,REGISTERED,
test323,STUDENT520@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-23 10:00,2022-06-23 10:30,STANDARD,NORMAL,REGISTERED,
test324,STUDENT551@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-20 12:00,2022-06-20 12:30,STANDARD,NORMAL,REGISTERED,
test325,STUDENT553@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-23 11:00,2022-06-23 11:30,STANDARD,NORMAL,REGISTERED,
test326,STUDENT570@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-20 10:00,2022-06-20 10:30,STANDARD,NORMAL,REGISTERED,
test327,STUDENT472@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin3,2022-06-21 16:30,2022-06-21 17:00,STANDARD,NORMAL,REGISTERED,
test328,STUDENT003@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin3,2022-06-20 16:00,2022-06-20 16:30,ALTERNATIVE,NORMAL,REGISTERED,
test329,STUDENT013@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-20 14:00,2022-06-20 14:30,STANDARD,NORMAL,REGISTERED,
test330,STUDENT242@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-20 16:00,2022-06-20 16:30,STANDARD,NORMAL,REGISTERED,
test331,STUDENT641@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-20 15:00,2022-06-20 15:30,STANDARD,NORMAL,REGISTERED,
test332,STUDENT349@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-22 16:00,2022-06-22 16:30,STANDARD,NORMAL,REGISTERED,
test333,STUDENT171@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-20 11:00,2022-06-20 11:30,STANDARD,NORMAL,REGISTERED,
test334,STUDENT215@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin3,2022-06-21 14:30,2022-06-21 15:00,STANDARD,NORMAL,REGISTERED,
test335,STUDENT564@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin3,2022-06-20 14:00,2022-06-20 14:30,ALTERNATIVE,NORMAL,REGISTERED,
test336,STUDENT036@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin3,2022-06-20 15:00,2022-06-20 15:30,ALTERNATIVE,NORMAL,REGISTERED,
test337,STUDENT312@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-20 14:30,2022-06-20 15:00,STANDARD,NORMAL,REGISTERED,
test338,STUDENT598@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-20 10:30,2022-06-20 11:00,STANDARD,NORMAL,REGISTERED,
test339,STUDENT030@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-23 12:00,2022-06-23 12:30,STANDARD,NORMAL,REGISTERED,
test340,STUDENT291@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-23 15:00,2022-06-23 15:30,STANDARD,NORMAL,REGISTERED,
test341,STUDENT186@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin3,2022-06-21 14:00,2022-06-21 14:30,STANDARD,NORMAL,REGISTERED,
test342,STUDENT601@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin1,2022-06-20 10:00,2022-06-20 10:30,ALTERNATIVE,NORMAL,REGISTERED,
test343,STUDENT386@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin1,2022-06-20 10:30,2022-06-20 11:00,ALTERNATIVE,NORMAL,REGISTERED,
test344,STUDENT193@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin3,2022-06-20 14:30,2022-06-20 15:00,ALTERNATIVE,NORMAL,REGISTERED,
test345,STUDENT346@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin1,2022-06-20 12:00,2022-06-20 12:30,ALTERNATIVE,NORMAL,REGISTERED,
test346,STUDENT222@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin1,2022-06-20 12:30,2022-06-20 13:00,ALTERNATIVE,NORMAL,REGISTERED,
